Temps(t-10),A1B2(t-10),A1B4(t-10),P1S(t-10),P1VP2(t-10),P1VP4(t-10),P2E(t-10),P4E(t-10),label(t-10),Temps(t-9),A1B2(t-9),A1B4(t-9),P1S(t-9),P1VP2(t-9),P1VP4(t-9),P2E(t-9),P4E(t-9),label(t-9),Temps(t-8),A1B2(t-8),A1B4(t-8),P1S(t-8),P1VP2(t-8),P1VP4(t-8),P2E(t-8),P4E(t-8),label(t-8),Temps(t-7),A1B2(t-7),A1B4(t-7),P1S(t-7),P1VP2(t-7),P1VP4(t-7),P2E(t-7),P4E(t-7),label(t-7),Temps(t-6),A1B2(t-6),A1B4(t-6),P1S(t-6),P1VP2(t-6),P1VP4(t-6),P2E(t-6),P4E(t-6),label(t-6),Temps(t-5),A1B2(t-5),A1B4(t-5),P1S(t-5),P1VP2(t-5),P1VP4(t-5),P2E(t-5),P4E(t-5),label(t-5),Temps(t-4),A1B2(t-4),A1B4(t-4),P1S(t-4),P1VP2(t-4),P1VP4(t-4),P2E(t-4),P4E(t-4),label(t-4),Temps(t-3),A1B2(t-3),A1B4(t-3),P1S(t-3),P1VP2(t-3),P1VP4(t-3),P2E(t-3),P4E(t-3),label(t-3),Temps(t-2),A1B2(t-2),A1B4(t-2),P1S(t-2),P1VP2(t-2),P1VP4(t-2),P2E(t-2),P4E(t-2),label(t-2),Temps(t-1),A1B2(t-1),A1B4(t-1),P1S(t-1),P1VP2(t-1),P1VP4(t-1),P2E(t-1),P4E(t-1),label(t-1),Temps(t),A1B2(t),A1B4(t),P1S(t),P1VP2(t),P1VP4(t),P2E(t),P4E(t),label(t)
0.011325028312570781,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011325028312570781,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011325028312570781,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011325028312570781,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011325028312570781,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011325028312570781,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011551528878822197,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01087202718006795,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011325028312570781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01087202718006795,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01087202718006795,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01087202718006795,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01087202718006795,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01087202718006795,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01087202718006795,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01087202718006795,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01087202718006795,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011551528878822197,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01087202718006795,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.01087202718006795,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011551528878822197,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011551528878822197,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011325028312570781,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011325028312570781,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
